iter	Passed	Remaining
0	1	118
1	2	104
2	3	98
3	3	90
4	4	87
5	5	86
6	6	85
7	7	84
8	8	83
9	9	83
10	10	82
11	11	81
12	12	80
13	12	79
14	13	78
15	14	77
16	15	76
17	16	76
18	17	75
19	18	74
20	19	73
21	20	72
22	21	72
23	22	71
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	66
30	29	65
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	60
38	37	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
