iter	Passed	Remaining
0	200	200463
1	202	100987
2	204	67824
3	206	51313
4	208	41402
5	209	34730
6	210	29928
7	212	26327
8	213	23501
9	214	21248
10	215	19399
11	216	17852
12	217	16549
13	219	15432
14	220	14474
15	221	13612
16	222	12872
17	223	12198
18	224	11598
19	225	11073
20	227	10589
21	228	10145
22	229	9736
23	230	9358
24	230	9007
25	231	8683
26	232	8386
27	233	8107
28	234	7850
29	235	7608
30	236	7383
31	237	7174
32	238	6977
33	239	6791
34	242	6683
35	246	6609
36	249	6501
37	252	6389
38	255	6288
39	257	6178
40	259	6067
41	261	5953
42	262	5846
43	264	5740
44	265	5640
45	266	5537
46	268	5438
47	269	5349
48	271	5267
49	272	5179
50	273	5092
51	274	5007
52	275	4929
53	276	4851
54	277	4776
55	278	4702
56	279	4630
57	280	4560
58	281	4494
59	282	4428
60	284	4381
61	286	4338
62	289	4312
63	294	4300
64	300	4324
65	304	4306
66	307	4280
67	309	4247
68	312	4214
69	315	4186
70	316	4147
71	318	4107
72	320	4066
73	321	4024
74	322	3981
75	324	3942
76	325	3903
77	326	3863
78	328	3828
79	329	3790
80	330	3753
81	332	3717
82	333	3685
83	335	3654
84	336	3621
85	337	3587
86	338	3553
87	339	3519
88	340	3485
89	341	3452
90	343	3434
91	344	3403
92	345	3372
93	346	3342
94	347	3312
95	348	3283
96	349	3254
97	350	3225
98	351	3198
99	352	3170
100	353	3143
101	354	3117
102	355	3092
103	356	3067
104	357	3045
105	358	3024
106	359	3001
107	360	2981
108	361	2958
109	362	2936
110	363	2914
111	364	2892
112	365	2870
113	366	2848
114	367	2828
115	368	2808
116	369	2786
117	370	2767
118	371	2747
119	372	2730
120	374	2719
121	375	2700
122	376	2682
123	377	2664
124	378	2646
125	379	2629
126	379	2611
127	380	2595
128	381	2578
129	382	2562
130	383	2547
131	385	2531
132	385	2516
133	387	2501
134	388	2488
135	389	2475
136	391	2463
137	392	2448
138	393	2435
139	394	2421
140	395	2407
141	395	2391
142	396	2378
143	397	2365
144	398	2352
145	399	2339
146	401	2327
147	402	2315
148	404	2308
149	405	2298
150	406	2286
151	407	2275
152	408	2263
153	409	2251
154	410	2239
155	412	2229
156	413	2217
157	414	2206
158	415	2195
159	416	2185
160	417	2174
161	418	2165
162	419	2155
163	420	2144
164	421	2133
165	422	2123
166	423	2112
167	424	2102
168	425	2092
169	426	2082
170	427	2072
171	428	2062
172	429	2052
173	430	2043
174	431	2034
175	433	2027
176	434	2018
177	435	2009
178	435	1999
179	436	1990
180	437	1981
181	438	1972
182	439	1963
183	440	1954
184	441	1946
185	442	1937
186	443	1929
187	444	1920
188	445	1913
189	447	1907
190	448	1901
191	449	1893
192	450	1885
193	451	1877
194	452	1869
195	453	1862
196	454	1854
197	455	1846
198	456	1839
199	457	1831
200	459	1824
201	460	1817
202	461	1811
203	462	1805
204	463	1799
205	464	1792
206	466	1785
207	467	1778
208	468	1771
209	469	1765
210	470	1758
211	471	1752
212	472	1746
213	473	1739
214	474	1733
215	476	1728
216	477	1723
217	478	1716
218	479	1710
219	480	1704
220	481	1698
221	482	1692
222	483	1686
223	485	1680
224	486	1674
225	487	1669
226	488	1663
227	489	1657
228	490	1652
229	492	1647
230	493	1641
